,Unnamed: 0,TRACK_ID,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt1_n0_dx,dt1_n0_dy,dt2_n0_dx,dt2_n0_dy,dt4_n0_dx,dt4_n0_dy,dt8_n0_dx,dt8_n0_dy,dt12_n0_dx,dt12_n0_dy,dt16_n0_dx,dt16_n0_dy,dt6_n0_dx,dt6_n0_dy,dt10_n0_dx,dt10_n0_dy,track_id_unique_pred,track_id_parent_pred
0,0,1,0,7602,1,0,1840.5199318791265,762.1452659380514,-56.464635120401,-25.548739264025357,-98.07223138218023,-40.299098438654475,-104.69745506692881,-25.0905193404634,-163.79907788286278,-3.505182594201642,-330.1580076349024,-0.8404250304605512,-494.1995339622017,-112.17453271574959,-93.78186003609676,-18.42294304500205,-276.7268858974351,-8.05982549861983,1,0
1,1,8,0,5108,6,0,1246.555590368909,204.490822707402,-7.1680391337527,-6.524244665637242,2.983894029637668,-9.642338731944506,10.184200570785606,-10.740967793209505,35.53829990404597,-13.210705157628212,50.810880034305896,-15.723012479096127,59.29015743055606,-17.565368685359033,23.42611035599793,-12.10951271425341,45.99190219927618,-13.426405117982085,2,0
2,2,5,0,7352,13,0,286.7643030334256,666.9712321507591,31.26243596371904,17.178119178858882,74.00925609925622,4.312234111875682,150.46190925692218,-61.08409345131861,163.80998137580173,-274.37071318681103,-68.51109493589863,-320.4102784766457,-163.83328398009746,-262.3249275482982,190.5649941522206,-161.3310005709163,54.44250443372323,-334.54001444094183,3,0
3,3,2,0,6522,4,0,329.1402766920528,459.3586100013188,-23.704066390467357,-5.312624457533161,-24.76153727217246,-9.902586648319414,-16.65646602096581,0.3574151800179948,-26.401865141494056,3.161318666390912,-93.19612728930296,24.0291034394628,-97.60164443042015,67.07123303026833,-5.338145984222479,6.8176722683039115,-65.10010794535424,6.838045538851078,4,0
4,4,6,0,8859,5,0,999.8324232544107,1210.5994329900768,-10.434330948468642,-12.344008933098396,4.273514480733297,-25.42186546342009,36.99167576987156,-31.99808908768796,128.18282112464635,-47.2972009275652,202.62678803941319,-55.29091642348954,298.75027206276127,-51.48955105540881,84.22018336204928,-38.851553621224866,156.78422021851136,-53.89109958940549,5,0
5,5,7,0,9611,10,0,800.4966564388831,1522.5919919167848,-16.185899370276953,-20.368885079462405,-28.15394034832616,-45.464299102673074,-61.940073405735006,-119.84924868195641,-48.40108903736302,-236.37799738100486,-35.44000502825395,-355.5597978214418,-29.98560155859797,-378.8371673819213,-110.44569487247223,-176.26080874056697,-27.16546801374875,-295.4958204444015,6,0
6,6,9,0,7819,14,0,451.4442097474463,866.3015384368013,-10.198328903293882,7.394272790589525,-5.141481880588572,8.20324404110886,-1.5949811706682342,10.039919590376485,13.605023370637241,-16.92333586965674,19.70508261321902,-136.85665096534046,-19.757001618137327,-244.0261009486435,6.443476475309068,0.5327410511761173,23.35859296864203,-72.0246898682816,7,0
7,7,4,0,7565,7,0,51.62598598848962,752.3039956571544,-19.994213376390984,-7.889549696621543,-24.012120005037218,-15.242579273940578,-51.62598598848962,0.7016518852019544,-51.62598598848962,1.7016593852583808,-51.62598598848962,64.70213188880234,-51.62598598848962,118.70253689184004,-51.62598598848962,-7.29840811524798,-51.62598598848962,27.701854386720925,8,0
8,8,6,1,19392,5,0,1036.8240990242823,1178.6013439023889,14.943597960522766,-6.154618467855471,47.22850759217771,-6.853464533536908,91.1911453547748,-15.299111839877241,165.63511226954162,-23.29282733580157,261.75859629288965,-19.491461967720852,339.81022181151815,-14.06721213348942,119.79254444863977,-21.89301050171753,221.14604620532143,-20.141628102780945,5,0
9,9,8,1,17697,6,0,1256.7397909396946,193.74985491419247,6.326344437765101,-0.923595265463348,13.241909785212329,-1.368544921043906,25.354099333260365,-2.4697373644187053,40.626679463520304,-4.9820446858866205,49.10595685977046,-6.824400892149527,44.64156286377147,-18.70843582826859,35.80770162849058,-2.685437324772579,43.6199492335445,-5.731986833117219,2,0
10,10,3,1,17428,15,0,1909.1628466798045,48.3177346719786,-20.79393271363051,58.218376340712176,-17.103660783397345,98.5255271479936,-19.064027963169803,137.88467236962302,-4.731719753125162,212.88419412958825,-1.8786228887097425,299.21360737878916,28.17822271879004,326.3209776404988,-11.597654420349956,187.07409486648362,-6.939972395296763,257.3699136949491,9,0
11,11,5,1,18404,13,0,437.22621229034775,605.8871386994406,28.84984207604311,-41.49407349830574,40.10308489529848,-100.24690711959772,13.348072118879545,-213.2866197354924,-218.9730041928208,-259.3261850253271,-314.2951932370196,-201.2408340969796,-353.2768674660908,-175.45826290537065,-96.01940482319895,-273.45592098962317,-283.08125694981425,-237.095840204809,3,0
12,12,9,1,18871,14,0,449.84922857677805,876.3414580271779,3.5398900036075247,-2.8325283780308155,8.038457645977303,-9.507178539200368,15.200004541305475,-26.96325546003323,21.300063783887254,-146.89657055571698,-18.16202044746911,-254.06602053902,-102.26944397236143,-271.94675632289835,24.953574139310266,-82.06460945865807,-0.4211519442653753,-215.75141436962963,7,0
13,13,7,1,19751,10,0,738.5565830331482,1402.7427432348286,-23.81660300353053,-25.660943556771606,-48.50562146673724,-56.41156005861058,13.538984368371985,-116.52874869904848,26.500068377481057,-235.71054913948547,31.954471847137032,-258.9879186999649,77.316036610899,-249.57849443707732,34.774605391986256,-175.64657176244512,19.4416970960217,-251.7520513971204,6,0
14,14,0,1,20744,16,0,1874.0140551054133,2039.0152926146948,-2.745769964417377,-23.711073762591692,0.7679628904011224,-41.690008961249305,-2.9783762229187687,-42.12245810158333,-10.94416998658653,-78.97416262654633,-7.387772682046716,-55.27565310387149,-18.04452253815407,-79.0467089214635,0.3377275863333581,-65.90162170596614,-3.3508863168797234,-43.19653386409482,10,0
15,15,1,1,18651,1,0,1735.8224768121975,737.0547465975882,13.391121260981665,11.675736093828617,10.915595030832037,6.667576295461345,-59.10162281593398,21.585336746261763,-225.4605525679736,24.25009431000285,-389.5020788952729,-87.08401337528618,-436.32496863410637,-99.90093155236023,-172.02943083050633,17.030693841843572,-268.1763974211401,8.40139997100016,1,0
16,16,2,1,18142,4,0,312.4838106710871,459.7160251813368,6.0402253324576805,1.4677988690932011,11.31832003674333,6.460257088285912,-9.745399120528248,2.8039034863729166,-76.53966126833714,23.67168825944481,-80.94517840945434,66.71381785025034,-80.36853577880362,90.64568627500972,-48.44364192438843,6.480630358833082,-88.89991751003225,41.70930487306606,4,0
17,17,4,1,18670,7,0,0.0,753.0056475423563,0.0,-10.000075000562221,0.0,-8.000060000449935,0.0,1.0000075000564266,0.0,64.00048000360039,0.0,118.00088500663807,0.0,159.00119250894397,0.0,27.00020250151897,0.0,82.00061500461287,8,0
18,18,8,2,27809,6,0,1282.093890272955,191.28011754977376,5.090587062911709,-0.2677659972234494,10.453602295230214,-0.2156999603538736,15.272580130259941,-2.5123073214679152,23.75185752651009,-4.354663527730821,19.287463530511104,-16.238698463849886,50.279305647019555,-22.778144932381025,18.265849900284138,-3.262249468698513,26.357048998509068,-9.93778044349935,2,0
19,19,7,2,29748,10,0,752.09556740152,1286.21399453578,13.059371309786455,-33.0691014304457,21.23562102361427,-59.1178230633966,12.961084009109072,-119.18180044043696,18.415487478765048,-142.4591700009164,63.77705224252703,-133.04974573802886,119.47726868964615,-107.49927695313409,5.902712727649714,-135.22330269807185,34.03844279086991,-141.28836137934852,6,0
20,20,5,2,28150,13,0,450.5742844092273,392.60051896394805,-44.01503815024455,-41.17671407867885,-109.3674769420785,-60.169301254130744,-232.32107631170035,-46.03956528983469,-327.6432653558992,12.045785638512823,-366.6249395849704,37.82835683012178,-320.61466837803863,-38.13746150249665,-296.4293290686938,-23.809220469316593,-345.91160091703586,21.50079635005289,3,0
21,21,3,2,27799,15,0,1890.0988187166345,186.2024070416016,0.6277102997976272,27.911585370180287,7.466373542819837,49.18942249686052,14.332308210044632,74.99952175996523,17.18540507446005,161.32893500916617,47.24225068195983,188.4363052708757,57.48751452972101,192.72311964573086,12.124055567873027,119.48524132532609,24.70952855640644,181.53196410076734,9,0
