,Unnamed: 0,TRACK_ID,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt1_n0_dx,dt1_n0_dy,dt2_n0_dx,dt2_n0_dy,dt4_n0_dx,dt4_n0_dy,dt8_n0_dx,dt8_n0_dy,dt12_n0_dx,dt12_n0_dy,dt16_n0_dx,dt16_n0_dy,dt6_n0_dx,dt6_n0_dy,dt10_n0_dx,dt10_n0_dy,track_id_unique_pred,track_id_parent_pred
0,0,1,0,7602,1,0,1840.5199318791265,762.1452659380514,-56.464635120401,-25.548739264025357,-98.07223138218023,-40.299098438654475,-104.69745506692881,-25.0905193404634,-163.79907788286278,-3.505182594201642,-330.1580076349024,-0.8404250304605512,-494.1995339622017,-112.17453271574959,-93.78186003609676,-18.42294304500205,-276.7268858974351,-8.05982549861983,1,0
1,1,8,0,5108,6,0,1246.555590368909,204.490822707402,-7.1680391337527,-6.524244665637242,2.983894029637668,-9.642338731944506,10.184200570785606,-10.740967793209505,35.53829990404597,-13.210705157628212,50.810880034305896,-15.723012479096127,59.29015743055606,-17.565368685359033,23.42611035599793,-12.10951271425341,45.99190219927618,-13.426405117982085,2,0
2,2,5,0,7352,13,0,286.7643030334256,666.9712321507591,31.26243596371904,17.178119178858882,74.00925609925622,4.312234111875682,150.46190925692218,-61.08409345131861,163.80998137580173,-274.37071318681103,-68.51109493589863,-320.4102784766457,-163.83328398009746,-262.3249275482982,190.5649941522206,-161.3310005709163,54.44250443372323,-334.54001444094183,3,0
3,3,2,0,6522,4,0,329.1402766920528,459.3586100013188,-23.704066390467357,-5.312624457533161,-24.76153727217246,-9.902586648319414,-16.65646602096581,0.3574151800179948,-26.401865141494056,3.161318666390912,-93.19612728930296,24.0291034394628,-97.60164443042015,67.07123303026833,-5.338145984222479,6.8176722683039115,-65.10010794535424,6.838045538851078,4,0
4,4,6,0,8859,5,0,999.8324232544107,1210.5994329900768,-10.434330948468642,-12.344008933098396,4.273514480733297,-25.42186546342009,36.99167576987156,-31.99808908768796,128.18282112464635,-47.2972009275652,202.62678803941319,-55.29091642348954,298.75027206276127,-51.48955105540881,84.22018336204928,-38.851553621224866,156.78422021851136,-53.89109958940549,5,0
5,5,7,0,9611,10,0,800.4966564388831,1522.5919919167848,-16.185899370276953,-20.368885079462405,-28.15394034832616,-45.464299102673074,-61.940073405735006,-119.84924868195641,-48.40108903736302,-236.37799738100486,-35.44000502825395,-355.5597978214418,-29.98560155859797,-378.8371673819213,-110.44569487247223,-176.26080874056697,-27.16546801374875,-295.4958204444015,6,0
6,6,9,0,7819,14,0,451.4442097474463,866.3015384368013,-10.198328903293882,7.394272790589525,-5.141481880588572,8.20324404110886,-1.5949811706682342,10.039919590376485,13.605023370637241,-16.92333586965674,19.70508261321902,-136.85665096534046,-19.757001618137327,-244.0261009486435,6.443476475309068,0.5327410511761173,23.35859296864203,-72.0246898682816,7,0
7,7,4,0,7565,7,0,51.62598598848962,752.3039956571544,-19.994213376390984,-7.889549696621543,-24.012120005037218,-15.242579273940578,-51.62598598848962,0.7016518852019544,-51.62598598848962,1.7016593852583808,-51.62598598848962,64.70213188880234,-51.62598598848962,118.70253689184004,-51.62598598848962,-7.29840811524798,-51.62598598848962,27.701854386720925,8,0
8,8,1,1,25376,1,0,1746.7380718430295,743.7223228930493,-11.390049959679573,-0.9842084374942032,-70.01721784676603,14.917760450800412,-182.9450258613383,10.363117546382227,-279.09199245197215,1.7338236755388152,-419.4019117385003,-96.3129639789298,-484.61235858802627,-144.39023555222343,-236.37614759880557,17.582518014541506,-400.41767392610495,-93.7515896707475,1,0
9,9,9,1,25584,14,0,457.88768622275535,866.8342794879775,5.205568543169363,-5.232761135281977,7.161546895328172,-17.456076920832857,16.91511649333296,-72.55743091945772,-8.459609590242678,-206.24423583042926,-70.77477351004677,-263.2493247196967,-140.11146745895047,-239.54149278968129,13.261606137909947,-137.38939201651658,-26.200478093446414,-244.5588419998196,7,0
10,10,4,1,25377,7,0,0.0,745.0055875419064,0.0,6.000045000337651,0.0,9.000067500506361,0.0,35.000262501968905,0.0,90.00067500506279,0.0,141.0010575079316,25.32107363535039,203.3085280159745,0.0,72.00054000405031,0.0,126.00094500708805,8,0
11,11,2,1,24884,4,0,323.8021307078304,466.1762822696227,-7.711516210878812,1.926682949397048,-21.063719157271574,-3.656353601912997,-59.76196196113175,0.020373270547167976,-100.21823754677557,35.24904778478015,-81.59275022381905,76.84219219533236,-98.94875142696644,90.97355381483179,-87.85798130508047,17.211431171158893,-92.26349844619769,60.25356076196443,4,0
12,12,6,1,26150,5,0,1084.05260661646,1171.747879368852,26.01679953243638,-3.3361155925504136,43.962637762597076,-8.445647306340334,72.56403685646205,-15.039545968180619,173.91753861314373,-13.288163569244034,255.4047382566532,-6.0636668155216285,336.84018799408045,-20.840215270902718,118.40660467736393,-16.439362802264668,214.530088700712,-12.637997434183946,5,0
13,13,5,1,24950,13,0,477.3292971856462,505.6402315798429,-1.5261274801975446,-54.57459030403345,-26.75501277641893,-113.0397126158947,-136.12248971849743,-173.20901387002544,-323.18434184511267,-136.84893308521129,-372.6666136934548,-91.53891626584179,-383.348031745349,-133.79099510098973,-259.07608908811926,-159.07927790572938,-354.3982781323181,-100.99392697738188,3,0
14,14,3,1,24345,15,0,1892.059185896407,146.84326181997218,-0.7471881257420137,18.76103526246968,-1.960367179772448,39.359145221629426,5.506006363047391,88.54856771848995,10.163688388100582,158.84438654695552,22.74916137663399,220.8911093223968,67.1567495186696,232.00247164075057,12.371941030272186,114.3586669815947,15.225037894687604,200.68808023079563,9,0
15,15,7,1,26475,10,0,690.0509615664107,1346.3311831762178,30.254028128278602,-27.210762452703193,62.044605835109216,-60.11718864043792,83.2802268587235,-119.23501170383452,67.94731856275894,-195.34049133850976,96.08304862597912,-201.40555001978646,159.82618321418462,-188.29791985004613,75.0056898442183,-179.2989890808749,80.46009331387427,-202.5763586413543,6,0
16,16,8,1,24428,6,0,1269.9817007249071,192.38130999314856,5.5999908676851655,-0.3476877521556219,12.112189548048036,-1.1011924433747993,22.56579184327825,-1.3168924037286729,30.37803944833217,-4.363441912073313,38.469238546557115,-11.038972886874149,41.833136454902395,-20.095886132903022,27.38476967830797,-3.6134997648427145,35.86404707455814,-5.4558559711056205,2,0
17,17,0,1,27567,16,0,1874.7820179958146,1997.3252836534448,7.635455007026168,11.442423738315938,-3.746339113319891,-0.4324491403340289,-0.4302353040677645,-24.21161274471683,-4.118849207280846,-1.5065249028455128,-18.90044962476759,-48.40606292336089,-25.120735385946322,-54.961860001531704,-11.712132876987653,-37.28415366529703,-8.155735572447838,-13.585644142622185,10,0
18,18,2,2,42054,4,0,235.9441494027499,483.3877134407816,-5.328936728729872,10.1445054905397,-12.360256241695113,18.037616613621253,-4.405517141117201,43.04212959080553,-3.828874510466477,66.97399801556492,-7.001455742347474,76.0915860706574,27.74496927734581,82.85492803846716,6.265231081261419,59.63076102417347,-11.090770121885981,73.76212264367291,4,0
19,19,4,2,42602,7,0,0.0,817.0061275459567,0.0,11.000082500618534,0.0,18.000135001012495,0.0,54.00040500303771,0.0,95.00071250534359,30.080047263448893,155.0369460153736,42.1833459492414,174.86073886298854,0.0,69.00051750388127,25.32107363535039,131.30798801192418,8,0
20,20,7,2,43244,10,0,765.0566514106291,1167.0321940953436,-8.721931658154062,-6.658709367978872,-7.058371281459357,-16.041502257634875,5.454403469655971,-23.277369560479432,50.81596823341795,-13.867945297591861,106.5161846805371,11.682523487302888,163.1664962867817,47.497833988772534,21.07735878176084,-22.10656093891157,84.82049336996636,-8.998930769171238,6,0
21,21,6,2,43218,5,0,1202.459211293824,1155.3085165665873,25.74037569252777,-0.7275476845154571,55.5109339357798,3.151199233020634,96.12348402334808,3.801365368080724,174.17510954197655,9.225615202312156,242.13808657621075,-18.16822947862169,293.72963584460126,-30.82070686326415,136.99813357928932,10.37569598674304,218.43358331671647,-4.40085246863805,5,0
